,Scenario,SOW,Temp_Limit,Delay,GDP,Pop,Other_ESD_Drivers,SDR,Elast_ESD_Driver,Elast_ESD_Price,CO2_Storage_Poten,Wind_Poten,Solar_Poten,Biomass_Poten,Oil_Gas_Poten,Solar_PV_Inv_Cost,Wind_Inv_Cost,Bioenergy_CCS_Inv_Cost,Other_Tech_Cost,Forcing,Land_Sinks,Clim_Sens,Year,Temp_Change,Rad_Forcing,CO2_Conc,CH4_Conc,N20_Conc,Carbon,CO2eq,Marg_CO2_Cost,GSupply,GSupply_Bioenergy,GSupply_Fossil,GSupply_Geothermal,GSupply_Nuclear,GSupply_Solar,GSupply_Tidal_Waves,GSupply_Wind,GConsumption,GConsumption_Fossil,GConsumption_Nuclear,GConsumption_Renewable,GCost
0,BASE_SSP2,1,8.0,0,1.02329,1.00928,1.0631,3.70267,1.01302,1.21686,1.00615,0.971662,1.15092,1.1354,1.05784,1.1117,1.10379,0.819447,0.981384,0.998157,1.12255,3.4,2050,2.492372183,4.09825479,512.4269788,2422.045287,374.6075,11.1053608,40.72335805,,32.33127803,,8.434101269,1.907061259,4.167603776,5.115585585,2.424416894,5.161511708,812.0922888,539.8936828,43.07584419,229.1227618,24.7884255
4,BASE_SSP2,5,8.0,0,1.00481,0.997576,1.12753,3.46723,1.08794,1.1188,0.916675,0.83391,1.05077,1.11783,1.15528,1.11601,1.04754,1.04623,1.08745,0.889926,1.1018,3.3,2050,2.465955065,4.156493039,517.9281896,2434.152374,374.6807359,12.14175963,44.52383256,,35.6116613,,9.327238736,1.915827057,4.226127982,5.810293696,2.516765604,6.502266269,874.5735465,592.9735974,43.67840941,237.9215397,26.17583657
5,BASE_SSP2,6,8.0,0,1.08269,1.03177,0.993713,3.77124,0.873656,0.989665,1.02698,0.984968,1.04639,1.07138,1.12886,1.17818,1.09826,1.07087,1.13473,0.977169,1.10329,2.8,2050,2.181352722,4.014514958,504.5072072,2405.000406,374.4976923,9.578051798,35.12271594,,28.21930416,,6.899381146,1.899879569,4.27251985,3.658102622,2.384190468,4.454559088,712.9841783,462.3901979,44.15606009,206.4379203,22.52264656
6,BASE_SSP2,7,8.0,0,1.1194,0.989002,0.971626,4.54539,1.05597,0.752712,1.35477,1.01583,1.15646,0.976836,1.05879,1.05863,1.11395,1.09229,1.09578,0.990018,1.06927,3.1,2050,2.392344226,4.210878632,523.0493035,2445.526914,374.7955866,12.88144805,47.23627,,35.37424492,,10.2889702,1.932460131,4.401000774,5.408875136,2.47416824,6.264399606,897.2567762,632.3476582,45.47889968,219.4302183,27.42909094
7,BASE_SSP2,8,8.0,0,1.02483,1.02225,0.893182,3.54405,1.02378,0.985672,1.05476,1.00706,1.00129,1.0694,1.06914,1.0231,0.972971,1.21067,1.16466,0.983651,1.1014,3.0,2050,2.306751088,4.098330593,512.5014294,2419.925748,374.5993757,11.07160557,40.59957763,,32.4991934,,7.792477622,1.906197052,4.14514307,4.865129334,2.404867263,6.567323911,810.3091514,541.5000071,42.84458876,225.9645555,24.22950305
8,BASE_SSP2,9,8.0,0,1.0733,1.04932,0.932851,3.5695,1.08998,0.924153,1.11344,1.01679,1.23667,1.08427,1.00843,1.03865,1.05459,1.17065,1.06166,0.970794,1.0088,2.1,2050,1.828066594,4.190708722,521.3204632,2435.822306,374.7400004,12.80009766,46.93795812,,35.92846148,,9.326064448,2.042603129,4.387166636,5.749393614,2.493355306,6.693071833,906.9406996,624.794383,45.33646339,236.8098532,26.45298423
9,BASE_SSP2,10,8.0,0,1.09059,1.07387,1.14318,5.12521,0.957533,1.02054,1.15301,1.07067,1.19131,1.19866,1.04632,1.028,1.06595,1.0597,1.03364,0.843826,1.14749,3.2,2050,2.410049258,4.110524425,513.3888391,2430.276069,374.7045656,10.92059893,40.04583628,,32.17384638,,9.064368076,1.904442265,4.222354954,4.663944883,2.49040325,5.350034692,802.5772463,531.1672857,43.63956232,227.7703982,26.33354472
10,BASE_SSP2,11,8.0,0,0.975313,1.01797,1.07023,3.85095,0.906548,1.31265,1.04745,0.964987,1.25395,0.887691,1.03877,1.14048,1.0719,0.956756,1.01528,1.05145,1.08669,2.7,2050,2.127599017,4.013250174,504.5261758,2400.33415,374.4802136,9.709981645,35.60650269,,28.21902685,,6.852720618,1.896616156,4.225898562,3.688121724,2.375693502,4.487826951,699.0950745,465.920183,43.67604731,189.4988442,22.64615023
11,BASE_SSP2,12,8.0,0,1.17779,1.00563,1.09972,5.32722,0.998973,1.09227,1.05041,1.001,1.11369,1.31981,1.00167,1.05186,1.18836,1.0371,1.0697,0.940773,1.11087,2.2,2050,1.892383805,4.18107094,519.9719475,2447.324893,374.8210747,12.04617487,44.17332325,,34.48723457,,10.63844958,1.909895401,4.383344763,5.531053296,2.533013951,5.012641161,881.7193659,592.5636502,45.29711339,243.8586023,28.09351095
12,BASE_SSP2,13,8.0,0,1.139,0.997719,1.10636,3.32348,0.904101,0.962569,1.30302,1.13875,1.16993,1.28817,1.02131,1.04207,1.04218,1.07534,1.10183,1.04748,1.01316,3.6,2050,2.560557135,4.042179276,507.2056544,2408.098046,374.5168479,10.03709954,36.80604401,,30.40518204,,7.5737486,1.907825541,4.119501218,4.010879499,2.422578004,5.127354893,765.431623,487.3118784,42.58058025,235.5391643,23.25185859
13,BASE_SSP2,14,8.0,0,1.11384,1.0685,0.920067,3.93163,1.00465,1.1622,1.28622,1.12028,1.03612,1.00492,1.13861,1.01511,1.01752,0.980963,1.07277,0.96495,1.15361,2.7,2050,2.167465316,4.141216413,516.4579564,2431.752891,374.6735125,11.66725575,42.78382684,,33.20069597,,8.252771295,1.929346729,4.2416198,4.820230863,2.435396668,6.74832737,836.2327444,571.4264607,43.83791317,220.9683705,25.32523304
