,Target,Scenario,xvar_subset_code,Regression Model,Fold,Train Score,Test Score,Scenario / Variables
0,GSupply,BASE_SSP2,small,ElasticNet,0,0.0,-0.008338102830098393,BASE_SSP2 / small
1,GSupply,BASE_SSP2,small,ElasticNet,1,0.0,-0.0002726745933148145,BASE_SSP2 / small
2,GSupply,BASE_SSP2,small,ElasticNet,2,0.0,-0.0002301230776418084,BASE_SSP2 / small
3,GSupply,BASE_SSP2,small,ElasticNet,3,0.0,-2.4763474555378195e-06,BASE_SSP2 / small
4,GSupply,BASE_SSP2,small,ElasticNet,4,0.0,-0.006141529634759557,BASE_SSP2 / small
5,GSupply,BASE_SSP2,small,RandomForestRegressor,0,0.859851804594574,0.050237288736472374,BASE_SSP2 / small
6,GSupply,BASE_SSP2,small,RandomForestRegressor,1,0.8588645938203516,0.030706165271986663,BASE_SSP2 / small
7,GSupply,BASE_SSP2,small,RandomForestRegressor,2,0.8678368705425012,-0.08939038219775797,BASE_SSP2 / small
8,GSupply,BASE_SSP2,small,RandomForestRegressor,3,0.8649177713252102,-0.07558454397959324,BASE_SSP2 / small
9,GSupply,BASE_SSP2,small,RandomForestRegressor,4,0.8596365549969427,0.09766190022006382,BASE_SSP2 / small
10,GSupply,BASE_SSP2,small,PySRRegressor,0,0.017247571973749265,0.054751079271859404,BASE_SSP2 / small
11,GSupply,BASE_SSP2,small,PySRRegressor,1,0.09251335138148209,0.17260295055785468,BASE_SSP2 / small
12,GSupply,BASE_SSP2,small,PySRRegressor,2,0.06170283997004222,-0.11942786818326612,BASE_SSP2 / small
13,GSupply,BASE_SSP2,small,PySRRegressor,3,0.04657051404952295,-0.07161061118906442,BASE_SSP2 / small
14,GSupply,BASE_SSP2,small,PySRRegressor,4,0.02171896435172882,0.0298927926632635,BASE_SSP2 / small
15,GSupply,BASE_SSP2,small,GPAFSRegressor,0,0.011576566718216719,0.010982395083915741,BASE_SSP2 / small
16,GSupply,BASE_SSP2,small,GPAFSRegressor,1,0.011377527602122628,0.015804890617257872,BASE_SSP2 / small
17,GSupply,BASE_SSP2,small,GPAFSRegressor,2,0.13409587693361824,0.021119769080851003,BASE_SSP2 / small
18,GSupply,BASE_SSP2,small,GPAFSRegressor,3,0.06110451066416411,-0.08655937167888328,BASE_SSP2 / small
19,GSupply,BASE_SSP2,small,GPAFSRegressor,4,-145.8582239396943,-137.8150359751185,BASE_SSP2 / small
20,GSupply,BASE_SSP2,all,ElasticNet,0,0.0,-0.008338102830098393,BASE_SSP2 / all
21,GSupply,BASE_SSP2,all,ElasticNet,1,0.0,-0.0002726745933148145,BASE_SSP2 / all
22,GSupply,BASE_SSP2,all,ElasticNet,2,0.0,-0.0002301230776418084,BASE_SSP2 / all
23,GSupply,BASE_SSP2,all,ElasticNet,3,0.0,-2.4763474555378195e-06,BASE_SSP2 / all
24,GSupply,BASE_SSP2,all,ElasticNet,4,0.0,-0.006141529634759557,BASE_SSP2 / all
25,GSupply,BASE_SSP2,all,RandomForestRegressor,0,0.9961597029035328,0.9690712422420321,BASE_SSP2 / all
26,GSupply,BASE_SSP2,all,RandomForestRegressor,1,0.9955026277968676,0.9669161584935453,BASE_SSP2 / all
27,GSupply,BASE_SSP2,all,RandomForestRegressor,2,0.9955996439495539,0.9770896109236715,BASE_SSP2 / all
28,GSupply,BASE_SSP2,all,RandomForestRegressor,3,0.9958651536850804,0.9700869203857914,BASE_SSP2 / all
29,GSupply,BASE_SSP2,all,RandomForestRegressor,4,0.9958679083011704,0.972198692863466,BASE_SSP2 / all
30,GSupply,BASE_SSP2,all,PySRRegressor,0,0.9869504418715004,0.9867954570647249,BASE_SSP2 / all
31,GSupply,BASE_SSP2,all,PySRRegressor,1,0.9851370569738531,0.9816086204376426,BASE_SSP2 / all
32,GSupply,BASE_SSP2,all,PySRRegressor,2,0.9858910459625844,0.9851447960824471,BASE_SSP2 / all
33,GSupply,BASE_SSP2,all,PySRRegressor,3,0.9873749683524222,0.9886625461570754,BASE_SSP2 / all
34,GSupply,BASE_SSP2,all,PySRRegressor,4,0.9887857533429456,0.9911246962287915,BASE_SSP2 / all
35,GSupply,BASE_SSP2,all,GPAFSRegressor,0,0.7162198055031941,0.7033578881089635,BASE_SSP2 / all
36,GSupply,BASE_SSP2,all,GPAFSRegressor,1,0.9595876980142835,0.9645049904333295,BASE_SSP2 / all
37,GSupply,BASE_SSP2,all,GPAFSRegressor,2,0.9945205486452532,0.9937199047582544,BASE_SSP2 / all
38,GSupply,BASE_SSP2,all,GPAFSRegressor,3,0.9646892378045325,0.9663820666985907,BASE_SSP2 / all
39,GSupply,BASE_SSP2,all,GPAFSRegressor,4,0.9656455709793984,0.9704062449207362,BASE_SSP2 / all
40,GSupply,1p5c_OS_SSP2,small,ElasticNet,0,0.7877959736807777,0.7742740044443361,1p5c_OS_SSP2 / small
41,GSupply,1p5c_OS_SSP2,small,ElasticNet,1,0.785380591503708,0.7929829543148478,1p5c_OS_SSP2 / small
42,GSupply,1p5c_OS_SSP2,small,ElasticNet,2,0.7943559042471496,0.7939626205555746,1p5c_OS_SSP2 / small
43,GSupply,1p5c_OS_SSP2,small,ElasticNet,3,0.7916445210145526,0.79776691394282,1p5c_OS_SSP2 / small
44,GSupply,1p5c_OS_SSP2,small,ElasticNet,4,0.7863893899097042,0.7801517008377785,1p5c_OS_SSP2 / small
45,GSupply,1p5c_OS_SSP2,small,RandomForestRegressor,0,0.9860181613529175,0.9340711814944012,1p5c_OS_SSP2 / small
46,GSupply,1p5c_OS_SSP2,small,RandomForestRegressor,1,0.9862937987119852,0.918524975155667,1p5c_OS_SSP2 / small
47,GSupply,1p5c_OS_SSP2,small,RandomForestRegressor,2,0.989169352495942,0.8678240740956857,1p5c_OS_SSP2 / small
48,GSupply,1p5c_OS_SSP2,small,RandomForestRegressor,3,0.9877954926464184,0.9031789646705939,1p5c_OS_SSP2 / small
49,GSupply,1p5c_OS_SSP2,small,RandomForestRegressor,4,0.9865278328087027,0.915643536556239,1p5c_OS_SSP2 / small
50,GSupply,1p5c_OS_SSP2,small,PySRRegressor,0,0.8157309811165703,0.8294755524049623,1p5c_OS_SSP2 / small
51,GSupply,1p5c_OS_SSP2,small,PySRRegressor,1,0.818556599376127,0.8198216423700209,1p5c_OS_SSP2 / small
52,GSupply,1p5c_OS_SSP2,small,PySRRegressor,2,0.8214260921629891,0.805351190547547,1p5c_OS_SSP2 / small
53,GSupply,1p5c_OS_SSP2,small,PySRRegressor,3,0.8518093217800506,0.843201208717065,1p5c_OS_SSP2 / small
54,GSupply,1p5c_OS_SSP2,small,PySRRegressor,4,0.8149048399355013,0.8338597696911296,1p5c_OS_SSP2 / small
55,GSupply,1p5c_OS_SSP2,small,GPAFSRegressor,0,0.874973359669241,0.8851743399129203,1p5c_OS_SSP2 / small
56,GSupply,1p5c_OS_SSP2,small,GPAFSRegressor,1,0.7204380502534481,0.7498557544070253,1p5c_OS_SSP2 / small
57,GSupply,1p5c_OS_SSP2,small,GPAFSRegressor,2,0.5120372140047174,0.2947059312706972,1p5c_OS_SSP2 / small
58,GSupply,1p5c_OS_SSP2,small,GPAFSRegressor,3,0.6258795741702654,0.5475769899020042,1p5c_OS_SSP2 / small
59,GSupply,1p5c_OS_SSP2,small,GPAFSRegressor,4,0.05121180952348414,0.048798623280335796,1p5c_OS_SSP2 / small
60,GSupply,1p5c_OS_SSP2,all,ElasticNet,0,0.7877959736807777,0.7742740044443361,1p5c_OS_SSP2 / all
61,GSupply,1p5c_OS_SSP2,all,ElasticNet,1,0.785380591503708,0.7929829543148478,1p5c_OS_SSP2 / all
62,GSupply,1p5c_OS_SSP2,all,ElasticNet,2,0.7943559042471496,0.7939626205555746,1p5c_OS_SSP2 / all
63,GSupply,1p5c_OS_SSP2,all,ElasticNet,3,0.7916445210145526,0.79776691394282,1p5c_OS_SSP2 / all
64,GSupply,1p5c_OS_SSP2,all,ElasticNet,4,0.7863893899097042,0.7801517008377785,1p5c_OS_SSP2 / all
65,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,0,0.9941706219820649,0.9640489183686877,1p5c_OS_SSP2 / all
66,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,1,0.9941654089925586,0.9694559995608594,1p5c_OS_SSP2 / all
67,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,2,0.9951673383273384,0.9456767318494299,1p5c_OS_SSP2 / all
68,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,3,0.9940743228361387,0.955038564602496,1p5c_OS_SSP2 / all
69,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,4,0.9940936590387033,0.9699209039089935,1p5c_OS_SSP2 / all
70,GSupply,1p5c_OS_SSP2,all,PySRRegressor,0,0.9135903963216129,0.9086522322669504,1p5c_OS_SSP2 / all
71,GSupply,1p5c_OS_SSP2,all,PySRRegressor,1,0.9366203752477741,0.9285981404308733,1p5c_OS_SSP2 / all
72,GSupply,1p5c_OS_SSP2,all,PySRRegressor,2,0.9251625438670242,0.9274021816619351,1p5c_OS_SSP2 / all
73,GSupply,1p5c_OS_SSP2,all,PySRRegressor,3,0.8868189303584105,0.8549275836772243,1p5c_OS_SSP2 / all
74,GSupply,1p5c_OS_SSP2,all,PySRRegressor,4,0.8800498573170249,0.8855410095448668,1p5c_OS_SSP2 / all
75,GSupply,1p5c_OS_SSP2,all,GPAFSRegressor,0,0.9258531644997731,0.9214442260223993,1p5c_OS_SSP2 / all
