,Target,Scenario,xvar_subset_code,Regression Model,Fold,Train Score,Test Score,Scenario / Variables
0,GSupply,BASE_SSP2,small,ElasticNet,0,0.0,-0.015276293729518775,BASE_SSP2 / small
1,GSupply,BASE_SSP2,small,ElasticNet,1,0.0,-0.00023552614289701346,BASE_SSP2 / small
2,GSupply,BASE_SSP2,small,ElasticNet,2,0.0,-0.0030568439033857864,BASE_SSP2 / small
3,GSupply,BASE_SSP2,small,ElasticNet,3,0.0,-0.000130513368415075,BASE_SSP2 / small
4,GSupply,BASE_SSP2,small,ElasticNet,4,0.0,-0.0009254401499139142,BASE_SSP2 / small
5,GSupply,BASE_SSP2,small,RandomForestRegressor,0,0.8566838329530384,0.06423683765676969,BASE_SSP2 / small
6,GSupply,BASE_SSP2,small,RandomForestRegressor,1,0.8640897728722734,0.020470216919385442,BASE_SSP2 / small
7,GSupply,BASE_SSP2,small,RandomForestRegressor,2,0.8693084893991896,-0.07875592432040635,BASE_SSP2 / small
8,GSupply,BASE_SSP2,small,RandomForestRegressor,3,0.8628139998322495,-0.04175289368048607,BASE_SSP2 / small
9,GSupply,BASE_SSP2,small,RandomForestRegressor,4,0.8525570849016916,0.14583620905105832,BASE_SSP2 / small
10,GSupply,BASE_SSP2,small,PySRRegressor,0,-3.5928828800990686e-09,-0.015292736132378248,BASE_SSP2 / small
11,GSupply,BASE_SSP2,small,PySRRegressor,1,0.08681554339613973,0.14610963354772855,BASE_SSP2 / small
12,GSupply,BASE_SSP2,small,PySRRegressor,2,-1.7015144848642194e-10,-0.0030582852001574956,BASE_SSP2 / small
13,GSupply,BASE_SSP2,small,PySRRegressor,3,-1.003183980330391e-09,-0.00013124178614476456,BASE_SSP2 / small
14,GSupply,BASE_SSP2,small,PySRRegressor,4,0.09868801781910164,0.10351187320301325,BASE_SSP2 / small
15,GSupply,BASE_SSP2,all,ElasticNet,0,0.0,-0.015276293729518775,BASE_SSP2 / all
16,GSupply,BASE_SSP2,all,ElasticNet,1,0.0,-0.00023552614289701346,BASE_SSP2 / all
17,GSupply,BASE_SSP2,all,ElasticNet,2,0.0,-0.0030568439033857864,BASE_SSP2 / all
18,GSupply,BASE_SSP2,all,ElasticNet,3,0.0,-0.000130513368415075,BASE_SSP2 / all
19,GSupply,BASE_SSP2,all,ElasticNet,4,0.0,-0.0009254401499139142,BASE_SSP2 / all
20,GSupply,BASE_SSP2,all,RandomForestRegressor,0,0.9952406933627866,0.9708238426712781,BASE_SSP2 / all
21,GSupply,BASE_SSP2,all,RandomForestRegressor,1,0.9950696727337427,0.9724162509765232,BASE_SSP2 / all
22,GSupply,BASE_SSP2,all,RandomForestRegressor,2,0.995052254042179,0.9747004256389159,BASE_SSP2 / all
23,GSupply,BASE_SSP2,all,RandomForestRegressor,3,0.9953553663369934,0.966987519894762,BASE_SSP2 / all
24,GSupply,BASE_SSP2,all,RandomForestRegressor,4,0.9955678894032898,0.9595921575718999,BASE_SSP2 / all
25,GSupply,BASE_SSP2,all,PySRRegressor,0,0.9936793092099708,0.992548393425613,BASE_SSP2 / all
26,GSupply,BASE_SSP2,all,PySRRegressor,1,0.9866716165894466,0.9863661022993816,BASE_SSP2 / all
27,GSupply,BASE_SSP2,all,PySRRegressor,2,0.9898555416575104,0.9889886979562051,BASE_SSP2 / all
28,GSupply,BASE_SSP2,all,PySRRegressor,3,0.9896665518769754,0.9901728136146462,BASE_SSP2 / all
29,GSupply,BASE_SSP2,all,PySRRegressor,4,0.9867756339934459,0.9853007941552582,BASE_SSP2 / all
30,GSupply,1p5c_OS_SSP2,small,ElasticNet,0,0.5610064919043078,0.5301726870442004,1p5c_OS_SSP2 / small
31,GSupply,1p5c_OS_SSP2,small,ElasticNet,1,0.5678586375721868,0.5445564240049208,1p5c_OS_SSP2 / small
32,GSupply,1p5c_OS_SSP2,small,ElasticNet,2,0.5623906666366754,0.563558388463533,1p5c_OS_SSP2 / small
33,GSupply,1p5c_OS_SSP2,small,ElasticNet,3,0.5342585430656304,0.5793612211627539,1p5c_OS_SSP2 / small
34,GSupply,1p5c_OS_SSP2,small,ElasticNet,4,0.5459205728783614,0.5388619351905215,1p5c_OS_SSP2 / small
35,GSupply,1p5c_OS_SSP2,small,RandomForestRegressor,0,0.9737274576252061,0.8533737822802867,1p5c_OS_SSP2 / small
36,GSupply,1p5c_OS_SSP2,small,RandomForestRegressor,1,0.975663781105325,0.780201652456267,1p5c_OS_SSP2 / small
37,GSupply,1p5c_OS_SSP2,small,RandomForestRegressor,2,0.9765428382872124,0.7937633409827912,1p5c_OS_SSP2 / small
38,GSupply,1p5c_OS_SSP2,small,RandomForestRegressor,3,0.9745003251400102,0.841156858829613,1p5c_OS_SSP2 / small
39,GSupply,1p5c_OS_SSP2,small,RandomForestRegressor,4,0.9703321251198703,0.8439870478326313,1p5c_OS_SSP2 / small
40,GSupply,1p5c_OS_SSP2,small,PySRRegressor,0,0.7446904299619705,0.7308036466084057,1p5c_OS_SSP2 / small
41,GSupply,1p5c_OS_SSP2,small,PySRRegressor,1,0.7511665767042405,0.723940685290182,1p5c_OS_SSP2 / small
42,GSupply,1p5c_OS_SSP2,small,PySRRegressor,2,0.7699334461640923,0.7570798971064773,1p5c_OS_SSP2 / small
43,GSupply,1p5c_OS_SSP2,small,PySRRegressor,3,0.756074694111448,0.8098629214061243,1p5c_OS_SSP2 / small
44,GSupply,1p5c_OS_SSP2,small,PySRRegressor,4,0.7688958509004578,0.7646798103972995,1p5c_OS_SSP2 / small
45,GSupply,1p5c_OS_SSP2,all,ElasticNet,0,0.5610064919043078,0.5301726870442003,1p5c_OS_SSP2 / all
46,GSupply,1p5c_OS_SSP2,all,ElasticNet,1,0.5678586375721868,0.5445564240049208,1p5c_OS_SSP2 / all
47,GSupply,1p5c_OS_SSP2,all,ElasticNet,2,0.5623906666366754,0.563558388463533,1p5c_OS_SSP2 / all
48,GSupply,1p5c_OS_SSP2,all,ElasticNet,3,0.5342585430656305,0.5793612211627537,1p5c_OS_SSP2 / all
49,GSupply,1p5c_OS_SSP2,all,ElasticNet,4,0.5459205728783614,0.5388619351905215,1p5c_OS_SSP2 / all
50,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,0,0.9916864035990196,0.8871001074183456,1p5c_OS_SSP2 / all
51,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,1,0.99122269710967,0.9396176821603449,1p5c_OS_SSP2 / all
52,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,2,0.9914067753143002,0.9451433527446881,1p5c_OS_SSP2 / all
53,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,3,0.9911744025314569,0.9331866394217994,1p5c_OS_SSP2 / all
54,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,4,0.9905219571320383,0.9452742772694792,1p5c_OS_SSP2 / all
55,GSupply,1p5c_OS_SSP2,all,PySRRegressor,0,0.9305667093973653,0.9096365753943095,1p5c_OS_SSP2 / all
56,GSupply,1p5c_OS_SSP2,all,PySRRegressor,1,0.9365824274676875,0.9490065738788807,1p5c_OS_SSP2 / all
57,GSupply,1p5c_OS_SSP2,all,PySRRegressor,2,0.9334945779005059,0.9396357056546021,1p5c_OS_SSP2 / all
58,GSupply,1p5c_OS_SSP2,all,PySRRegressor,3,0.9222382695555292,0.9132299373239618,1p5c_OS_SSP2 / all
59,GSupply,1p5c_OS_SSP2,all,PySRRegressor,4,0.9186434335194764,0.9024513616138646,1p5c_OS_SSP2 / all
60,GSupply,2C_SSP2,small,ElasticNet,0,0.455259234698011,0.46358451278685164,2C_SSP2 / small
61,GSupply,2C_SSP2,small,ElasticNet,1,0.47014322729540103,0.41227888852034,2C_SSP2 / small
62,GSupply,2C_SSP2,small,ElasticNet,2,0.4615930683425674,0.44810996802965897,2C_SSP2 / small
63,GSupply,2C_SSP2,small,ElasticNet,3,0.43496880259530724,0.46502703385065713,2C_SSP2 / small
64,GSupply,2C_SSP2,small,ElasticNet,4,0.43739058797207264,0.44963385069825634,2C_SSP2 / small
65,GSupply,2C_SSP2,small,RandomForestRegressor,0,0.9613313643062572,0.7715102861421209,2C_SSP2 / small
66,GSupply,2C_SSP2,small,RandomForestRegressor,1,0.9648690550547839,0.6855010663791565,2C_SSP2 / small
67,GSupply,2C_SSP2,small,RandomForestRegressor,2,0.9645340015373116,0.667614517301537,2C_SSP2 / small
68,GSupply,2C_SSP2,small,RandomForestRegressor,3,0.9623202570891967,0.7674500682993749,2C_SSP2 / small
69,GSupply,2C_SSP2,small,RandomForestRegressor,4,0.9596834996721059,0.776096095572028,2C_SSP2 / small
70,GSupply,2C_SSP2,small,PySRRegressor,0,0.6629985686203538,0.6905211627263028,2C_SSP2 / small
71,GSupply,2C_SSP2,small,PySRRegressor,1,0.6838682478177593,0.6001056570173604,2C_SSP2 / small
72,GSupply,2C_SSP2,small,PySRRegressor,2,0.6751136770967348,0.6287403739473276,2C_SSP2 / small
73,GSupply,2C_SSP2,small,PySRRegressor,3,0.6584107985264745,0.6996180906816687,2C_SSP2 / small
74,GSupply,2C_SSP2,small,PySRRegressor,4,0.7098961046115724,0.7416488879598473,2C_SSP2 / small
75,GSupply,2C_SSP2,all,ElasticNet,0,0.455259234698011,0.46358451278685164,2C_SSP2 / all
76,GSupply,2C_SSP2,all,ElasticNet,1,0.47014322729540103,0.41227888852034,2C_SSP2 / all
77,GSupply,2C_SSP2,all,ElasticNet,2,0.4615930683425674,0.44810996802965897,2C_SSP2 / all
78,GSupply,2C_SSP2,all,ElasticNet,3,0.43496880259530724,0.46502703385065713,2C_SSP2 / all
79,GSupply,2C_SSP2,all,ElasticNet,4,0.43739058797207264,0.44963385069825634,2C_SSP2 / all
80,GSupply,2C_SSP2,all,RandomForestRegressor,0,0.9927431657331038,0.9400501920664485,2C_SSP2 / all
81,GSupply,2C_SSP2,all,RandomForestRegressor,1,0.993344490099156,0.9330292914090405,2C_SSP2 / all
82,GSupply,2C_SSP2,all,RandomForestRegressor,2,0.992000599121429,0.9530952845862327,2C_SSP2 / all
83,GSupply,2C_SSP2,all,RandomForestRegressor,3,0.9922656910775834,0.9513486398435254,2C_SSP2 / all
